label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
a,0.245749,0.159954,-0.0,0.311119,0.210722,-0.017743,0.385909,0.225372,-0.031746,0.441962,0.229115,-0.043072,0.493604,0.23769,-0.050235,0.420378,0.112145,-0.049228,0.41606,0.247893,-0.077106,0.377441,0.277984,-0.083891,0.353159,0.269004,-0.085555,0.3805,0.084059,-0.051836,0.367705,0.246872,-0.072245,0.332981,0.255818,-0.066983,0.318344,0.234195,-0.065426,0.333241,0.077575,-0.056041,0.324042,0.236054,-0.075812,0.29649,0.23877,-0.065184,0.286243,0.21631,-0.05886,0.286578,0.083517,-0.061821,0.282619,0.207406,-0.075513,0.268599,0.218557,-0.071602,0.262825,0.202912,-0.068209
a,0.263082,0.177632,-0.0,0.334355,0.235137,-0.013241,0.412474,0.255821,-0.024702,0.468324,0.267566,-0.035845,0.520126,0.278917,-0.044424,0.452364,0.148341,-0.034173,0.443362,0.281943,-0.062979,0.404373,0.306959,-0.077308,0.379934,0.293386,-0.08597,0.415043,0.119684,-0.04067,0.399718,0.277108,-0.06157,0.366877,0.286075,-0.063636,0.353548,0.26358,-0.067968,0.368812,0.110928,-0.049151,0.354986,0.257653,-0.067669,0.329755,0.263352,-0.059362,0.320247,0.240478,-0.055312,0.319633,0.113939,-0.059759,0.316009,0.229207,-0.073909,0.307162,0.241418,-0.070727,0.303418,0.224199,-0.067738
a,0.252254,0.221929,-0.0,0.323307,0.2824,-0.009883,0.402071,0.303292,-0.018009,0.457989,0.315936,-0.026738,0.50952,0.328321,-0.032815,0.44676,0.203864,-0.024123,0.434777,0.330925,-0.05015,0.397249,0.347123,-0.063427,0.381461,0.331131,-0.072114,0.412432,0.175699,-0.031486,0.394122,0.327302,-0.052962,0.362159,0.331029,-0.056003,0.352381,0.309363,-0.059956,0.36939,0.165155,-0.041128,0.350334,0.309747,-0.061181,0.326628,0.312527,-0.058485,0.322442,0.290861,-0.057482,0.323627,0.166304,-0.052281,0.312242,0.280575,-0.066452,0.301264,0.288324,-0.06763,0.300661,0.270046,-0.068109
a,0.265612,0.232305,-0.0,0.336905,0.293212,-0.0106,0.417136,0.308761,-0.018872,0.476701,0.317294,-0.027039,0.528556,0.331338,-0.031738,0.459655,0.211509,-0.027084,0.449642,0.338742,-0.050767,0.406626,0.349759,-0.059192,0.38984,0.328557,-0.064443,0.423293,0.181454,-0.033138,0.403346,0.333661,-0.053649,0.367585,0.335475,-0.053657,0.357213,0.313896,-0.055284,0.379647,0.169699,-0.041147,0.358841,0.315475,-0.060826,0.331222,0.317124,-0.056374,0.324574,0.294963,-0.053903,0.335575,0.170268,-0.050441,0.319966,0.27852,-0.064328,0.304461,0.284911,-0.065002,0.301012,0.265908,-0.064797
a,0.289741,0.234088,-0.0,0.361259,0.292915,-0.011415,0.442292,0.306565,-0.020342,0.502106,0.312824,-0.028754,0.555384,0.322219,-0.033214,0.48618,0.199357,-0.029572,0.477891,0.330151,-0.054593,0.4352,0.35408,-0.062785,0.413742,0.342785,-0.066801,0.447324,0.172296,-0.035297,0.429724,0.331265,-0.056326,0.392746,0.334149,-0.056444,0.38166,0.310887,-0.058164,0.40152,0.16627,-0.042917,0.38507,0.320867,-0.061911,0.35516,0.314262,-0.05718,0.348416,0.284593,-0.055147,0.355614,0.171687,-0.051965,0.343372,0.295485,-0.065551,0.326921,0.300162,-0.066248,0.323014,0.279869,-0.066243
a,0.291736,0.224299,-0.0,0.364147,0.280999,-0.010989,0.445708,0.292375,-0.021166,0.507628,0.29755,-0.030724,0.561413,0.310804,-0.037144,0.485973,0.181634,-0.034562,0.48056,0.309935,-0.06177,0.437829,0.343582,-0.07249,0.410427,0.340458,-0.077804,0.449021,0.152229,-0.040629,0.434169,0.305906,-0.061391,0.399424,0.323947,-0.062412,0.383677,0.311061,-0.065669,0.403874,0.143458,-0.048233,0.390043,0.293319,-0.068344,0.361784,0.302591,-0.063687,0.35059,0.28254,-0.061672,0.357546,0.146006,-0.056971,0.350793,0.262131,-0.071124,0.334081,0.275928,-0.070134,0.326224,0.260059,-0.068962
a,0.297127,0.225063,-0.0,0.369753,0.27829,-0.010338,0.450184,0.292841,-0.020981,0.508761,0.304329,-0.031629,0.562968,0.319484,-0.039265,0.492185,0.185963,-0.030728,0.48279,0.315056,-0.05737,0.444428,0.341447,-0.069842,0.4236,0.333119,-0.077846,0.453054,0.158413,-0.038374,0.435692,0.318143,-0.059141,0.405203,0.326548,-0.061318,0.393589,0.308529,-0.06615,0.406667,0.150949,-0.04776,0.388304,0.306213,-0.064894,0.363083,0.301439,-0.05865,0.355759,0.27317,-0.057112,0.35868,0.155417,-0.059037,0.348038,0.280242,-0.071811,0.336476,0.283971,-0.071205,0.334031,0.259329,-0.071173
a,0.299148,0.234214,-0.0,0.373004,0.290154,-0.011346,0.451608,0.306361,-0.022921,0.509902,0.317369,-0.034486,0.563603,0.332014,-0.043165,0.491826,0.200678,-0.032161,0.483348,0.326638,-0.059987,0.444408,0.355176,-0.074001,0.422264,0.348151,-0.082581,0.452879,0.17219,-0.03945,0.43677,0.324955,-0.061112,0.407199,0.340694,-0.064115,0.392817,0.327912,-0.068811,0.407146,0.162936,-0.048497,0.38976,0.311002,-0.066639,0.367261,0.317186,-0.061004,0.359021,0.296736,-0.058952,0.360514,0.166377,-0.059382,0.350271,0.285019,-0.07223,0.341647,0.297772,-0.071061,0.33984,0.282126,-0.070062
a,0.295897,0.232086,-0.0,0.366503,0.289885,-0.010169,0.446885,0.30733,-0.019678,0.50599,0.317953,-0.029411,0.559082,0.332141,-0.036068,0.489771,0.201352,-0.028592,0.478321,0.333598,-0.055535,0.436356,0.350771,-0.068942,0.41676,0.334328,-0.077784,0.451935,0.173982,-0.036506,0.43299,0.330597,-0.058186,0.399008,0.330485,-0.060748,0.388299,0.307373,-0.065287,0.406682,0.165763,-0.046367,0.387842,0.317148,-0.064868,0.360971,0.309823,-0.059607,0.355194,0.2821,-0.057973,0.35992,0.169094,-0.058041,0.349888,0.291459,-0.071213,0.336148,0.295226,-0.070795,0.33232,0.274785,-0.070564
a,0.295235,0.235586,-0.0,0.366678,0.292551,-0.009129,0.446399,0.310576,-0.018517,0.505213,0.322884,-0.028045,0.556689,0.33706,-0.0346,0.487791,0.204612,-0.031136,0.479697,0.332675,-0.055943,0.438618,0.353481,-0.066106,0.418456,0.34102,-0.072481,0.44876,0.178694,-0.038908,0.43472,0.331909,-0.059459,0.401358,0.338204,-0.060629,0.388414,0.320967,-0.063879,0.402949,0.172585,-0.048017,0.389253,0.322141,-0.066091,0.362829,0.321779,-0.061348,0.354562,0.299073,-0.059768,0.356687,0.178407,-0.058459,0.347889,0.297984,-0.0707,0.335428,0.305939,-0.070328,0.331806,0.28906,-0.070151
a,0.321113,0.231166,-0.0,0.393495,0.287755,-0.00968,0.472669,0.30107,-0.018363,0.531791,0.307627,-0.027071,0.583601,0.31868,-0.032668,0.515829,0.189969,-0.025998,0.511012,0.31063,-0.051955,0.470686,0.344627,-0.063089,0.446251,0.346112,-0.068339,0.48033,0.163063,-0.031679,0.465241,0.309334,-0.05173,0.431424,0.33017,-0.053137,0.415802,0.323408,-0.055564,0.437533,0.15586,-0.039428,0.421563,0.299879,-0.057835,0.393477,0.310229,-0.053896,0.381667,0.294313,-0.051803,0.393526,0.159789,-0.04845,0.381543,0.272269,-0.060173,0.364636,0.288694,-0.059599,0.35743,0.278844,-0.058447
a,0.325241,0.210984,-0.0,0.399604,0.273081,-0.011583,0.479007,0.286852,-0.022179,0.54021,0.292838,-0.032384,0.594924,0.304816,-0.039722,0.521576,0.174761,-0.033247,0.513048,0.29979,-0.061194,0.47135,0.333926,-0.073229,0.445016,0.33209,-0.079696,0.485429,0.145457,-0.039567,0.468163,0.29626,-0.062134,0.433863,0.314499,-0.065739,0.418586,0.300535,-0.070644,0.441001,0.136847,-0.047491,0.425242,0.282349,-0.068555,0.397801,0.291733,-0.065248,0.387824,0.270367,-0.064146,0.394882,0.139228,-0.056668,0.387859,0.251917,-0.072025,0.374433,0.269736,-0.071893,0.369673,0.258012,-0.071112
a,0.328371,0.211964,-0.0,0.40193,0.271446,-0.010167,0.482835,0.284714,-0.020159,0.542814,0.294665,-0.030088,0.596606,0.31261,-0.037283,0.526753,0.179396,-0.03014,0.518368,0.299903,-0.055641,0.477557,0.331647,-0.067014,0.453559,0.331338,-0.073803,0.489999,0.15031,-0.036754,0.47441,0.299322,-0.056735,0.44132,0.320017,-0.058362,0.425475,0.313531,-0.06217,0.445484,0.140457,-0.045033,0.430672,0.289118,-0.062468,0.403838,0.299324,-0.057165,0.39234,0.282638,-0.055443,0.39942,0.142705,-0.054843,0.392418,0.26174,-0.067222,0.378442,0.277799,-0.066215,0.372435,0.265119,-0.06541
a,0.58965,0.616994,-0.0,0.541931,0.592893,-0.02028,0.501015,0.585023,-0.034868,0.476721,0.595396,-0.045808,0.450407,0.613187,-0.054221,0.521986,0.639469,-0.050709,0.52447,0.557806,-0.073541,0.530956,0.552192,-0.083624,0.531387,0.569058,-0.089503,0.556596,0.653732,-0.05127,0.559303,0.555303,-0.067224,0.557578,0.555123,-0.065675,0.554085,0.57362,-0.068467,0.589332,0.651804,-0.052793,0.589656,0.561282,-0.067532,0.585958,0.556731,-0.059235,0.581976,0.569553,-0.05573,0.615778,0.640657,-0.056575,0.615703,0.570662,-0.068545,0.61061,0.567352,-0.065446,0.608451,0.581768,-0.064223
a,0.582705,0.617636,0.0,0.53262,0.597285,-0.021773,0.493348,0.594355,-0.033837,0.469721,0.604105,-0.042853,0.442767,0.623826,-0.05068,0.511031,0.662227,-0.044155,0.520565,0.568575,-0.070956,0.524779,0.560214,-0.087143,0.522847,0.581991,-0.097139,0.548933,0.673455,-0.043548,0.55217,0.557012,-0.060306,0.548738,0.559788,-0.061744,0.546345,0.589293,-0.065656,0.583335,0.665754,-0.044911,0.585065,0.559529,-0.062145,0.577807,0.55942,-0.054281,0.572203,0.581701,-0.048957,0.611284,0.651367,-0.049233,0.611564,0.567991,-0.065768,0.60349,0.566787,-0.065134,0.601131,0.583214,-0.062778
a,0.574451,0.601672,-0.0,0.529758,0.58537,-0.026122,0.491111,0.587535,-0.041195,0.468166,0.6013,-0.052485,0.441693,0.622108,-0.062005,0.510096,0.655475,-0.050785,0.520461,0.563169,-0.08086,0.525127,0.556054,-0.098692,0.523977,0.579306,-0.109949,0.549587,0.666166,-0.048686,0.553014,0.55088,-0.069199,0.550008,0.554239,-0.070807,0.549221,0.585697,-0.074309,0.58376,0.658623,-0.048817,0.585403,0.554042,-0.067719,0.577751,0.556823,-0.057456,0.572023,0.584442,-0.050355,0.612924,0.644496,-0.052537,0.612023,0.562595,-0.071185,0.604301,0.563463,-0.07041,0.601671,0.584584,-0.067371
a,0.565828,0.593156,-0.0,0.526264,0.579591,-0.027107,0.490827,0.585514,-0.043644,0.467649,0.600249,-0.056216,0.442386,0.621831,-0.067438,0.507832,0.653236,-0.053006,0.521294,0.563048,-0.082029,0.521398,0.558746,-0.100707,0.516964,0.581465,-0.113777,0.548294,0.663872,-0.050643,0.55276,0.550429,-0.069879,0.546321,0.556436,-0.073154,0.543747,0.590729,-0.079532,0.58383,0.656435,-0.050229,0.585705,0.552285,-0.066138,0.576714,0.558185,-0.057629,0.570967,0.590096,-0.054091,0.614711,0.641105,-0.053727,0.613167,0.560588,-0.070279,0.604019,0.562898,-0.07066,0.600588,0.586605,-0.070301
a,0.558858,0.601615,-0.0,0.524042,0.581147,-0.02762,0.486331,0.585829,-0.042127,0.462178,0.602204,-0.051859,0.439472,0.621499,-0.059776,0.504793,0.648826,-0.055944,0.511713,0.563761,-0.081456,0.513472,0.569111,-0.095651,0.512303,0.593916,-0.105309,0.544853,0.663239,-0.051142,0.547594,0.547317,-0.066585,0.542346,0.566034,-0.065653,0.541515,0.604386,-0.068536,0.58038,0.655857,-0.047803,0.579285,0.550152,-0.060456,0.572938,0.564968,-0.048418,0.570271,0.598275,-0.041661,0.612439,0.640507,-0.048535,0.607772,0.560141,-0.064296,0.600577,0.567612,-0.063923,0.598698,0.593347,-0.061846
a,0.550215,0.593859,-0.0,0.517733,0.570666,-0.027114,0.47874,0.576186,-0.039694,0.453517,0.593539,-0.04753,0.433739,0.61167,-0.053177,0.502237,0.636206,-0.055066,0.506588,0.55694,-0.082161,0.505714,0.562657,-0.098104,0.503335,0.586139,-0.107833,0.542077,0.653881,-0.049118,0.544142,0.535058,-0.063518,0.53569,0.556319,-0.060266,0.53455,0.594081,-0.060625,0.57701,0.645327,-0.044863,0.575457,0.538302,-0.057927,0.567784,0.555365,-0.043221,0.565595,0.58642,-0.032925,0.607606,0.629573,-0.044594,0.603143,0.54925,-0.0602,0.59475,0.558156,-0.057718,0.592178,0.581902,-0.05284
a,0.550933,0.597315,-0.0,0.518911,0.571831,-0.027213,0.47763,0.579437,-0.041222,0.451261,0.596046,-0.050465,0.430087,0.613343,-0.057415,0.497174,0.637143,-0.054339,0.501666,0.561908,-0.081263,0.502423,0.570774,-0.095633,0.502197,0.594333,-0.10371,0.537831,0.657995,-0.04816,0.542774,0.540105,-0.063251,0.535129,0.564737,-0.058235,0.531672,0.600757,-0.055993,0.573412,0.652499,-0.043933,0.574127,0.545266,-0.057171,0.567609,0.563727,-0.040252,0.564646,0.593551,-0.027349,0.604854,0.637614,-0.043798,0.601442,0.55963,-0.059255,0.594717,0.569939,-0.055633,0.591746,0.595256,-0.049225
a,0.567762,0.598097,-0.0,0.533262,0.575737,-0.025036,0.494892,0.584819,-0.036662,0.468677,0.603639,-0.043576,0.4505,0.624143,-0.048227,0.513272,0.649337,-0.052211,0.521137,0.570771,-0.079142,0.520617,0.574275,-0.094934,0.518053,0.597429,-0.104431,0.553546,0.665967,-0.046837,0.559037,0.552483,-0.060845,0.549668,0.569416,-0.05712,0.546219,0.603773,-0.056958,0.58918,0.658664,-0.04332,0.590209,0.555554,-0.056776,0.581957,0.570139,-0.042612,0.578804,0.600495,-0.032421,0.620666,0.644435,-0.043453,0.616927,0.567796,-0.06012,0.609228,0.574965,-0.058703,0.606003,0.598954,-0.054307
b,0.579002,0.540275,1e-06,0.600804,0.527667,-0.09513,0.589606,0.526477,-0.150948,0.542076,0.498292,-0.189732,0.501309,0.512266,-0.228625,0.553771,0.647897,-0.145507,0.487596,0.656723,-0.204206,0.440111,0.651099,-0.245767,0.388508,0.643195,-0.275501,0.515257,0.633542,-0.118125,0.462402,0.60196,-0.189425,0.427076,0.568026,-0.233047,0.38761,0.556951,-0.260644,0.492028,0.601216,-0.093358,0.452313,0.551253,-0.154999,0.446918,0.521515,-0.179932,0.438746,0.512835,-0.191398,0.478288,0.565837,-0.074121,0.469573,0.517627,-0.125213,0.476536,0.49818,-0.146602,0.480199,0.498219,-0.157179
b,0.601005,0.543024,1e-06,0.588065,0.498982,-0.049533,0.553497,0.465364,-0.075981,0.518366,0.468031,-0.096643,0.500889,0.505284,-0.116672,0.467131,0.511023,-0.047729,0.410416,0.515189,-0.076688,0.374204,0.519728,-0.099426,0.340517,0.52832,-0.115157,0.465826,0.557882,-0.038314,0.4026,0.560622,-0.065958,0.362289,0.567286,-0.087388,0.322815,0.575767,-0.103221,0.478606,0.598443,-0.034325,0.420768,0.601999,-0.062485,0.383329,0.606684,-0.080812,0.347002,0.612526,-0.092411,0.503423,0.6374,-0.034451,0.455559,0.642708,-0.058234,0.421656,0.643814,-0.071882,0.38765,0.645163,-0.081369
b,0.645331,0.576293,0.0,0.626771,0.512592,-0.03232,0.57935,0.467156,-0.050303,0.53708,0.469954,-0.065206,0.530979,0.517513,-0.081207,0.491697,0.50375,-0.038546,0.429297,0.513321,-0.061382,0.390544,0.522758,-0.080412,0.355811,0.532416,-0.094705,0.492306,0.550846,-0.039318,0.42353,0.5571,-0.061209,0.378251,0.564905,-0.08121,0.338039,0.573368,-0.0958,0.506328,0.593514,-0.04255,0.442249,0.601899,-0.062099,0.398329,0.604902,-0.078169,0.360653,0.608532,-0.089336,0.530478,0.636425,-0.048659,0.479497,0.642806,-0.065349,0.446369,0.643989,-0.074551,0.414982,0.645029,-0.081183
b,0.644801,0.580719,0.0,0.622864,0.51286,-0.029654,0.572797,0.459496,-0.044802,0.525725,0.462674,-0.057838,0.522205,0.512409,-0.071993,0.48573,0.501596,-0.029882,0.422646,0.509422,-0.048579,0.384613,0.521118,-0.066221,0.348822,0.533709,-0.080778,0.486408,0.546959,-0.032024,0.417377,0.553394,-0.049246,0.37203,0.561464,-0.068071,0.330739,0.571528,-0.083177,0.50069,0.58819,-0.036821,0.436737,0.595678,-0.053302,0.394612,0.59954,-0.068962,0.35689,0.605826,-0.080896,0.524011,0.630964,-0.044616,0.473051,0.637576,-0.059793,0.440723,0.639463,-0.06901,0.409567,0.642082,-0.076463
b,0.649442,0.6012,0.0,0.627164,0.531112,-0.025696,0.576818,0.480493,-0.03801,0.530761,0.481787,-0.048987,0.530566,0.530718,-0.061362,0.490126,0.525031,-0.025403,0.428135,0.533523,-0.043072,0.390236,0.543886,-0.059861,0.354264,0.553384,-0.074288,0.489558,0.569371,-0.029102,0.42145,0.576665,-0.045599,0.377307,0.584362,-0.063271,0.336891,0.592467,-0.077846,0.50392,0.609789,-0.035394,0.441207,0.620287,-0.051689,0.399992,0.623666,-0.067073,0.361858,0.627766,-0.079194,0.528525,0.650613,-0.044439,0.480051,0.657957,-0.0598,0.449636,0.659599,-0.069437,0.419763,0.661749,-0.077644
b,0.646598,0.607803,0.0,0.625582,0.536343,-0.026918,0.572804,0.482471,-0.038988,0.524302,0.48521,-0.049526,0.524363,0.534988,-0.06141,0.487835,0.529985,-0.025593,0.424941,0.538186,-0.042724,0.386102,0.550113,-0.059208,0.349872,0.562107,-0.073547,0.487996,0.574984,-0.02892,0.41921,0.582093,-0.044777,0.374251,0.589968,-0.06277,0.333265,0.599867,-0.077883,0.502168,0.615355,-0.034997,0.437699,0.623871,-0.051063,0.396397,0.627339,-0.067018,0.358867,0.632898,-0.079672,0.526109,0.656699,-0.043971,0.476148,0.666007,-0.05947,0.444735,0.668441,-0.069783,0.414405,0.672438,-0.078579
b,0.646089,0.592399,0.0,0.621942,0.52433,-0.027933,0.572587,0.472291,-0.042205,0.526568,0.475512,-0.054729,0.522783,0.524661,-0.068354,0.488433,0.514599,-0.027936,0.426332,0.524009,-0.046616,0.387965,0.535961,-0.064087,0.352115,0.54765,-0.078647,0.488723,0.560641,-0.030849,0.420582,0.567938,-0.048391,0.375934,0.575019,-0.066909,0.33554,0.58375,-0.081835,0.502479,0.60199,-0.036367,0.439071,0.609365,-0.053285,0.397512,0.612327,-0.068478,0.359755,0.617517,-0.080151,0.525663,0.643353,-0.04479,0.476284,0.650059,-0.060418,0.44441,0.651307,-0.069753,0.413348,0.652656,-0.077376
b,0.641835,0.584237,0.0,0.619124,0.516744,-0.029324,0.571554,0.463935,-0.044288,0.5266,0.465743,-0.057337,0.518168,0.512691,-0.071425,0.485619,0.505376,-0.029182,0.423426,0.513346,-0.048389,0.385469,0.524697,-0.066134,0.349864,0.536081,-0.080562,0.485748,0.550423,-0.031271,0.417478,0.556974,-0.048908,0.372777,0.564553,-0.067848,0.332585,0.573252,-0.083052,0.499174,0.591543,-0.036129,0.436091,0.598575,-0.05309,0.394643,0.602781,-0.069173,0.357586,0.608716,-0.081415,0.521735,0.63317,-0.043948,0.472447,0.640164,-0.05974,0.440649,0.643177,-0.069795,0.409971,0.646773,-0.077841
b,0.643724,0.586144,0.0,0.622525,0.515442,-0.028472,0.571195,0.462688,-0.042118,0.522576,0.463019,-0.054119,0.518587,0.511993,-0.067317,0.485168,0.507189,-0.026256,0.424071,0.514739,-0.044322,0.38556,0.525608,-0.061481,0.349798,0.536859,-0.076152,0.48515,0.55172,-0.029125,0.417658,0.558354,-0.046354,0.373326,0.565077,-0.064745,0.332643,0.573464,-0.079751,0.499527,0.592753,-0.034966,0.435719,0.600017,-0.052591,0.394264,0.603029,-0.068516,0.356748,0.608267,-0.08067,0.523453,0.634656,-0.043756,0.473344,0.641702,-0.060625,0.441401,0.644197,-0.071121,0.410764,0.648297,-0.079614
